book_name,author(s),publisher,language,#pages,best_seller_rank,customer_reviews,total_ratings,url,paperback_price($)
Technology and Society,Jan L. Harrington,Jones & Bartlett Learning,,296,Null,['4.0'],['15'],https://www.amazon.com/Technology-Society-Jan-L-Harrington/dp/0763750948/ref=sr_1_940?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799046&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-940,61.18
Mastering Predictive Analytics with R - Second Edition: Machine learning techniques for advanced models,James D. Miller,Packt Publishing,,448,2655168,['3.9'],['10'],https://www.amazon.com/Mastering-Predictive-Analytics-R-Second/dp/1787121399/ref=sr_1_941?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799046&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-941,51.99
Predictive Analytics with Microsoft Azure Machine Learning 2nd Edition,"Wee-Hyong Tok,Valentine Fontama,",Self Publication,,Null,2653267,['3.7'],['31'],https://www.amazon.com/Predictive-Analytics-Microsoft-Machine-Learning/dp/1484212010/ref=sr_1_942?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799046&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-942,69.99
Haskell Data Analysis Cookbook,Nishant Shukla,Packt Publishing,,334,3179196,['3.7'],['9'],https://www.amazon.com/Haskell-Analysis-Cookbook-Nishant-Shukla/dp/1783286334/ref=sr_1_943?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799046&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-943,24.53
"Just Plain Data Analysis: Finding, Presenting, and Interpreting Social Science Data",Gary M. Klass,Rowman & Littlefield Publishers,,202,2668524,['3.8'],['9'],https://www.amazon.com/Just-Plain-Data-Analysis-Interpreting/dp/1442215089/ref=sr_1_944?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799046&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-944,30.39
Mastering Hadoop 3: Big data processing at scale to unlock unique business insights,"Chanchal Singh,Manish Kumar (Author)",Packt Publishing,,544,2616197,['4.5'],['11'],https://www.amazon.com/Mastering-Hadoop-processing-business-insights/dp/1788620445/ref=sr_1_945?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799046&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-945,57.99
"Machine Learning with scikit-learn Quick Start Guide: Classification, regression, and clustering techniques in Python",Kevin Jolly,Packt Publishing,,172,3123606,['4.1'],['5'],https://www.amazon.com/Machine-Learning-scikit-learn-Quick-Start/dp/1789343704/ref=sr_1_946?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799046&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-946,25.44
"The Data-Confident Internal Auditor: A Practical, Step-by-Step Guide","Conor McGarrity,Yusuf Moolla",Lioncrest Publishing,,204,2934999,['4.5'],['11'],https://www.amazon.com/Data-Confident-Internal-Auditor-Step-Step/dp/1544526741/ref=sr_1_947?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799046&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-947,60.00
Data to Value: How to Unleash the Power of Data for Better Quality and Lower Cost Healthcare (Data to Value Content Series),K.H. Ken Lee,Data to Value Content Series,,204,2610904,['4.9'],['19'],https://www.amazon.com/Data-Value-Unleash-Quality-Healthcare/dp/1737449714/ref=sr_1_948?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799046&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-948,29.99
"The XBRL Book: Simple, Precise, Technical",Ghislain Fourny,Self Publication,,Null,2643012,['4.6'],['3'],https://www.amazon.com/XBRL-Book-Simple-Precise-Technical/dp/B09XZ7L56X/ref=sr_1_949?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799046&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-949,41.00
